"","PN01271PM"
"","Índice de precios Lima Metropolitana (var% mensual) - IPC"
Feb49,1.11731843575451
Mar49,0.552486187845131
Abr49,3.29670329670299
May49,1.59574468085121
Jun49,1.57068062827239
Jul49,1.54639175257688
Ago49,3.04568527918812
Sep49,0.985221674877113
Oct49,-0.487804878049175
Nov49,2.9411764705885
Dic49,0.476190476190346
Ene50,1.42180094786743
Feb50,-1.22413910825604
Mar50,0.126852539486031
Abr50,-0.304060763310905
May50,1.35973764441123
Jun50,-0.307164960760066
Jul50,0.293439445422227
Ago50,-1.06374115546744
Sep50,0.257704852751774
Oct50,4.63308283225919
Nov50,1.24038473361157
Dic50,1.03822777896478
Ene51,2.89173201620861
Feb51,-0.748053423353188
Mar51,0.281429513096118
Abr51,0.451714678283891
May51,0.156910897032769
Jun51,0.89604694520994
Jul51,0.155273746797357
Ago51,0.761929792859788
Sep51,0.639834990877161
Oct51,0.393392675508999
Nov51,0.796701659678074
Dic51,0.965435970368252
Ene52,0.277371938328633
Feb52,0.282064469443158
Mar52,0.749451298134725
Abr52,0.324207398995111
May52,0.662477487459215
Jun52,0.501168337817371
Jul52,0.897959003328976
Ago52,1.05529768319985
Sep52,0.539543147250299
Oct52,0.0865560808630592
Nov52,0.790438753875574
Dic52,0.391261936582301
Ene53,0.319652525093796
Feb53,0.148241467909965
Mar53,0.251807896971868
Abr53,0.130678946258035
May53,7.59152562430696
Jun53,-0.534035180098831
Jul53,0.0205891963720927
Ago53,-0.305606965647285
Sep53,0.673443546349037
Oct53,0.320270042695375
Nov53,-0.0408889193528374
Dic53,-0.0346121990389898
Ene54,0.524087451929757
Feb54,0.454032935454179
Mar54,0.0155855446134223
Abr54,0.969270295696744
May54,0.0509306614627832
Jun54,-0.189735737879483
Jul54,0.910299049120011
Ago54,0.23586009867235
Sep54,0.462969936922917
Oct54,0.670722477532444
Nov54,0.444168951151272
Dic54,0.180491788480303
Ene55,0.355829341513706
Feb55,0.459291896049759
Mar55,0.492933716455794
Abr55,0.585358621715443
May55,0.437569230749138
Jun55,0.177492076020893
Jul55,-0.0527140911350025
Ago55,0.271034558211965
Sep55,0.410566721016032
Oct55,0.507835755105866
Nov55,0.215716967663893
Dic55,0.492624831316879
Ene56,0.783473992100314
Feb56,0.289557338908175
Mar56,0.443749109870004
Abr56,0.535244009963557
May56,0.480281457030357
Jun56,0.445746544999336
Jul56,0.73961410401688
Ago56,0.59704391513106
Sep56,0.739465467659025
Oct56,0.563172621020824
Nov56,-0.0706820457147306
Dic56,0.432553072458139
Ene57,1.1024581073876
Feb57,0.576029282834128
Mar57,1.39985861864712
Abr57,0.55037428950118
May57,0.0692367073714361
Jun57,0.715386282226036
Jul57,1.04212565908217
Ago57,1.21866735387565
Sep57,-0.14574682962635
Oct57,-0.370610117506178
Nov57,0.175803017039112
Dic57,0.36116217154733
Ene58,1.02636907999338
Feb58,1.66187955655975
Mar58,0.699533690172864
Abr58,0.438612375893699
May58,0.550140922588201
Jun58,0.921994425647242
Jul58,1.27779800874824
Ago58,1.65216658184215
Sep58,-0.631677272982046
Oct58,-0.352509768810002
Nov58,1.03886597529069
Dic58,0.4143082329609
Ene59,1.0483496661152
Feb59,0.532538806064163
Mar59,1.09719125295889
Abr59,1.2312707034035
May59,1.36721358204496
Jun59,1.60794062546177
Jul59,1.75398611221248
Ago59,6.14833209230668
Sep59,0.0492398509318509
Oct59,0.613687933521474
Nov59,0.126780610717882
Dic59,0.182452834396777
Ene60,0.676731000000069
Feb60,0.039539999999973
Mar60,0.0395250000000166
Abr60,-0.615350999999917
May60,0.222619999999991
Jun60,0.00495799999988813
Jul60,0.72484599999997
Ago60,1.33687700000017
Sep60,0.962714999999891
Oct60,0.952573000000084
Nov60,-0.98170999999995
Dic60,-0.918288000000048
Ene61,1.74707199999981
Feb61,0.390244000000126
Mar61,1.55490800000008
Abr61,1.24401899999998
May61,1.13421600000004
Jun61,-1.682243
Jul61,0.47528499999982
Ago61,0.85146600000006
Sep61,0.844278000000013
Oct61,-0.558140000000106
Nov61,1.02899900000016
Dic61,1.48148099999989
Ene62,1.18613100000016
Feb62,0.811541999999861
Mar62,0.536673000000105
Abr62,0.355871999999942
May62,0.177304999999924
Jun62,0.442477999999994
Jul62,0.17621100000014
Ago62,-0.791556999999999
Sep62,-0.0886520000001318
Oct62,0.887311000000101
Nov62,0.439753999999943
Dic62,0.612959999999903
Ene63,1.56658000000006
Feb63,0
Mar63,1.79948600000008
Abr63,0.16834999999988
May63,-0.336133999999897
Jun63,-0.590219000000046
Jul63,1.10262900000005
Ago63,0.503355999999948
Sep63,0.500834999999926
Oct63,1.49501700000019
Nov63,1.30932899999994
Dic63,0.969305000000068
Ene64,1.52
Feb64,0.31520899999989
Mar64,0.628437000000085
Abr64,0.780639999999896
May64,1.00697100000004
Jun64,0.23006100000003
Jul64,0.765111000000084
Ago64,1.67046299999992
Sep64,0.224048000000111
Oct64,0.0745159999998692
Nov64,-0.0744600000000183
Dic64,3.57675100000005
Ene65,2.73381300000007
Feb65,1.82072799999991
Mar65,2.13204999999996
Abr65,3.23232300000008
May65,0.782778999999894
Jun65,-0.194174999999981
Jul65,0.389105000000013
Ago65,0.193798000000081
Sep65,-0.193424000000013
Oct65,1.2919899999999
Nov65,1.02040800000004
Dic65,0.820706999999996
Ene66,0.688791000000037
Feb66,1.18159200000004
Mar66,0.491703000000025
Abr66,0.61162099999991
May66,0.121581000000032
Jun66,0.303581999999994
Jul66,1.33171899999996
Ago66,1.37395500000001
Sep66,-0.117854999999998
Oct66,0.825959000000007
Nov66,-0.0585139999999339
Dic66,0.702575999999918
Ene67,1.68406500000007
Feb67,0.0096850000000137
Mar67,0.890954999999962
Abr67,0.508735000000056
May67,1.59488099999998
Jun67,0.404210999999953
Jul67,0.486846000000116
Ago67,0.354047999999943
Sep67,6.42465899999997
Oct67,2.54732600000009
Nov67,0.944278999999923
Dic67,3.32041099999996
Ene68,1.53344200000008
Feb68,0.618572999999919
Mar68,1.10977999999998
Abr68,0.718572000000017
May68,0.784006000000084
Jun68,2.58265300000001
Jul68,1.27398199999996
Ago68,0.59902700000001
Sep68,-0.401935000000037
Oct68,0.194304999999979
Nov68,0.0372940000000462
Dic68,0.365344000000044
Ene69,0.393729999999997
Feb69,0.44398399999996
Mar69,1.41446900000002
Abr69,1.60540499999999
May69,0.121541000000004
Jun69,-0.285633000000032
Jul69,-0.157547999999947
Ago69,-0.351456000000004
Sep69,-0.316705999999988
Oct69,0.498230999999936
Nov69,0.740049000000046
Dic69,1.47635699999999
Ene70,0.632555999999948
